[2026-04-18T05:19:20Z] === ENRICH ITERATION 11 START | repo=jestjs/jest sha=67c1aa20 ===
[2026-04-18T05:19:20Z] [iter=11] PHASE START: enrich repo=jestjs/jest sha=67c1aa20 runlog=/home/runner/work/forx/forx/storage/aggregate/lsp/logs/67c1aa20-enrich-iter-011.log output=/home/runner/work/forx/forx/storage/aggregate/lsp/67c1aa20c5fec31366d733e901fee2b981cb1850.nq.gz
[2026-04-18T05:20:06Z] [iter=11] Step 1: Loading AST into disk-backed store mem_mb=83 MB
[2026-04-18T05:21:43Z] [iter=11] AST store loaded triples=9309439 load_secs=94 mem_mb=1077 MB
[2026-04-18T05:21:43Z] [iter=11] Step 2: Finding LSP targets mem_mb=1077 MB
[2026-04-18T05:21:53Z] [iter=11] LSP targets found call_sites=81315 imports=2227 extends=133 implements=9 secs=10
[2026-04-18T05:22:06Z] [iter=11] Loaded checkpoint partial graph triples=301500
[2026-04-18T05:22:12Z] [iter=11] Step 2.7: Building position index (one-shot, shared across resolvers) mem_mb=1232 MB
[2026-04-18T05:23:06Z] [iter=11] Position index built positions=604380 nodes_with_types=724270 secs=54 mem_mb=2293 MB
[2026-04-18T05:23:06Z] [iter=11] Step 3: Starting LSP resolution mem_mb=2293 MB already_completed_types=[] already_completed_files=908
[2026-04-18T05:23:06Z] [iter=11] Resolving target type target_type=call_site count=81315
[2026-04-18T05:23:07Z] [iter=11] HEARTBEAT target_type=call_site elapsed_min=3.8 files_done=0 resolved=0 errors=0 current=e2e/__tests__/toMatchSnapshotWithRetries.test.ts
[2026-04-18T05:24:41Z] [iter=11] HEARTBEAT target_type=call_site elapsed_min=5.3 files_done=1 resolved=0 errors=25 current=packages/pretty-format/src/__tests__/ConvertAnsi.test.ts
[2026-04-18T05:26:03Z] [iter=11] HEARTBEAT target_type=call_site elapsed_min=6.7 files_done=3 resolved=0 errors=47 current=packages/jest-util/src/installCommonGlobals.ts
[2026-04-18T05:26:51Z] [iter=11] HEARTBEAT target_type=call_site elapsed_min=7.5 files_done=4 resolved=0 errors=60 current=packages/jest-test-result/src/__tests__/formatTestResults.test.ts
